AX,AY,AZ
-484.224,-1958.016,16080.024
-1261.04,-2643.796,15902.1
-2839.416,-3821.888,15375.128
-2432.46,-2857.672,15667.448
-3043.456,-2999.664,15515.216
-2312.38,-3749.944,15454.784
-2056.068,-641.3,15854.28
-1287.26,1360.536,15956.26
1462.084,739.732,15979.816
2057.588,-2430.476,15762.816
2891.768,-2934.184,15612.736
3900.556,-3241.652,15318.768
4279.992,-3799.432,15136.456
-2676.272,-3995.26,15063.14
-4560.144,-4861.28,14564.88
-8704.496,-6633.064,11499.02
6945.264,-7053.3,11295.092
7828.592,-8169.364,11724.732
6745.248,-8902.008,11859.944
9163.832,-5602.688,14515.464
-5750.272,-5609.692,12526.972
-8530.044,-3629.5,13010.598
-8269.556,-7551.068,11342.084
-8650.048,-8896.2,10217.908
6514.916,-7964.384,11144.256
10454.228,-9749.5,7887.4
12424.216,3017.224,8897.076
13106.892,6441.916,-5470.336
13154.148,3332.14,-9556.524
11104.22,8002.836,-9344.892
10612.592,9256.472,-8982.924
11068.74,-5503.156,-9450.156
9969.02,-9258.368,-9509.892
9010.316,-8635.664,-10955.516
9764.316,-7608.71,-11113.268
8378.376,-7658.82,-12146.132
7035.676,-9324.804,-11763.772
-6742.044,-9552.336,-10323.26
-8986.56,-7901.552,-11333.2
-10065.384,-5403.508,-11900.668
-11074.28,-5390.344,-10964.656
-9425.352,-3854.228,-12954.124
-10015.66,7534.792,-9794.556
-9135.896,11020.86,-8164.656
-9704.404,9618.236,-9279.56
-11108.136,6446.276,-10342.188
-10077.872,5191.152,-12076.984
-7600.892,10937.16,-9471.36
-7335.332,9352.66,-11523.744
7767.692,8672.892,-10387.208
9758.896,7491.448,-11297.128
10028.764,8320.356,-10435.716
9720.352,5167.144,12164.32
10570.492,4693.476,11608.872
11091.436,3351.572,11600.948
6709.932,4625.336,13948.3
8181.484,-7342.384,12107.368
9686.172,-7168.156,11081.356
8782.636,-8811.324,10772.188
6512.956,-8629.572,12221.616
7873.428,-5973.568,12964.152
8133.876,-4239.396,13468.08
-7308.04,3409.98,13747.568
-6439.992,3987.368,14057.728
-5451.788,3805.256,14530.372
-6256.668,1206.284,14612.464
-5300.052,2129.744,14946.676
-7268.768,3972.136,13637.776
-9709.728,3887.9,12020.944
-9014.972,4068.708,12562.536
-10042.928,4492.672,11571.404
